YEAR,COUNTY_DISTRICT_CODE,DISTRICT_NAME,ENROLLMENT_GRADES_K_12,DISCIPLINE_INCIDENTS,DISCIPLINE_INCIDENT_RATE,DISCIPLINE_ALCOHOL,DISCIPLINE_ALCOHOL_RATE,DISCIPLINE_DRUG,DISCIPLINE_DRUG_RATE,DISCIPLINE_OTHER,DISCIPLINE_OTHER_RATE,DISCIPLINE_TOBACCO,DISCIPLINE_TOBACCO_RATE,DISCIPLINE_VIOLENCE,DISCIPLINE_VIOLENCE_RATE,DISCIPLINE_WEAPON,DISCIPLINE_WEAPON_RATE,DISCIPLINE_REMOVAL_IN_SCHL_SUSP,DISCIPLINE_REMOVAL_IN_SCHL_SUSP_RATE,DISCIPLINE_REMOVAL_OUT_SCHL_SUSP,DISCIPLINE_REMOVAL_OUT_SCHL_SUSP_RATE,DISCIPLINE_REMOVAL_EXPULSION,DISCIPLINE_EXPULSION_RATE,DISCIPLINE_MORE_10_DAYS,DISCIPLINE_MORE_10_DAYS_RATE
2020,037037,GASCONADE CO. R-II,1801,8,0.4,*,*,*,*,5,0.3,*,*,*,*,*,*,*,*,8,0.4,*,*,*,*
2021,037037,GASCONADE CO. R-II,1749,5,0.3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,0.3,*,*,*,*
2022,037037,GASCONADE CO. R-II,1771,24,1.4,5,0.3,8,0.5,8,0.5,*,*,*,*,*,*,*,*,24,1.4,*,*,*,*
2023,037037,GASCONADE CO. R-II,1731,44,2.5,*,*,8,0.5,27,1.6,*,*,*,*,*,*,*,*,44,2.5,*,*,*,*
2001,037039,GASCONADE CO. R-I,1118,7,0.6,*,*,*,*,*,*,*,*,*,*,*,*,*,*,7,0.6,*,*,*,*
2002,037039,GASCONADE CO. R-I,1140,9,0.8,*,*,*,*,8,0.7,*,*,*,*,*,*,*,*,9,0.8,*,*,*,*
2003,037039,GASCONADE CO. R-I,1142,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2004,037039,GASCONADE CO. R-I,1139,10,0.9,*,*,*,*,9,0.8,*,*,*,*,*,*,*,*,10,0.9,*,*,*,*
2005,037039,GASCONADE CO. R-I,1120,23,2.1,*,*,*,*,20,1.8,*,*,*,*,*,*,*,*,20,1.8,*,*,*,*
2006,037039,GASCONADE CO. R-I,1108,11,1,*,*,*,*,8,0.7,*,*,*,*,*,*,*,*,9,0.8,*,*,*,*
2007,037039,GASCONADE CO. R-I,1108,11,1,*,*,8,0.7,*,*,*,*,*,*,*,*,*,*,11,1,*,*,*,*
2008,037039,GASCONADE CO. R-I,1080,14,1.3,5,0.5,*,*,6,0.6,*,*,*,*,*,*,5,0.5,9,0.8,*,*,*,*
2009,037039,GASCONADE CO. R-I,1063,14,1.3,*,*,*,*,8,0.8,*,*,*,*,*,*,*,*,14,1.3,*,*,5,0.5
2010,037039,GASCONADE CO. R-I,1036,8,0.8,*,*,*,*,6,0.6,*,*,*,*,*,*,*,*,7,0.7,*,*,*,*
2011,037039,GASCONADE CO. R-I,1046,15,1.4,*,*,9,0.9,*,*,*,*,*,*,*,*,*,*,15,1.4,*,*,*,*
2012,037039,GASCONADE CO. R-I,992,12,1.2,*,*,*,*,10,1,*,*,*,*,*,*,*,*,10,1,*,*,*,*
2013,037039,GASCONADE CO. R-I,926,8,0.9,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6,0.6,*,*,*,*
2014,037039,GASCONADE CO. R-I,960,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2015,037039,GASCONADE CO. R-I,961,11,1.1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,11,1.1,*,*,*,*
2016,037039,GASCONADE CO. R-I,969,9,0.9,*,*,*,*,*,*,*,*,*,*,*,*,*,*,7,0.7,*,*,*,*
2017,037039,GASCONADE CO. R-I,960,12,1.3,*,*,*,*,9,0.9,*,*,*,*,*,*,*,*,8,0.8,*,*,*,*
2018,037039,GASCONADE CO. R-I,926,12,1.3,*,*,6,0.6,*,*,*,*,*,*,*,*,*,*,10,1.1,*,*,*,*
2019,037039,GASCONADE CO. R-I,877,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020,037039,GASCONADE CO. R-I,883,5,0.6,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,0.6,*,*,*,*
2021,037039,GASCONADE CO. R-I,876,8,0.9,*,*,*,*,8,0.9,*,*,*,*,*,*,*,*,7,0.8,*,*,*,*
2022,037039,GASCONADE CO. R-I,866,14,1.6,*,*,6,0.7,8,0.9,*,*,*,*,*,*,*,*,12,1.4,*,*,8,0.9
2023,037039,GASCONADE CO. R-I,828,16,1.9,*,*,*,*,12,1.4,*,*,*,*,*,*,*,*,16,1.9,*,*,9,1.1
2001,038044,KING CITY R-I,397,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2002,038044,KING CITY R-I,372,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2003,038044,KING CITY R-I,372,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2004,038044,KING CITY R-I,375,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2005,038044,KING CITY R-I,351,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2006,038044,KING CITY R-I,338,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2007,038044,KING CITY R-I,349,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2008,038044,KING CITY R-I,328,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2009,038044,KING CITY R-I,327,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2010,038044,KING CITY R-I,337,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2011,038044,KING CITY R-I,332,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2012,038044,KING CITY R-I,326,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2013,038044,KING CITY R-I,322,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2014,038044,KING CITY R-I,310,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2015,038044,KING CITY R-I,310,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2016,038044,KING CITY R-I,327,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2017,038044,KING CITY R-I,323,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2018,038044,KING CITY R-I,321,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2019,038044,KING CITY R-I,309,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020,038044,KING CITY R-I,317,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2021,038044,KING CITY R-I,325,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2022,038044,KING CITY R-I,326,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2023,038044,KING CITY R-I,326,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2001,038045,STANBERRY R-II,364,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2002,038045,STANBERRY R-II,350,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2003,038045,STANBERRY R-II,358,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2004,038045,STANBERRY R-II,347,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2005,038045,STANBERRY R-II,338,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2006,038045,STANBERRY R-II,345,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2007,038045,STANBERRY R-II,362,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2008,038045,STANBERRY R-II,346,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2009,038045,STANBERRY R-II,348,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2010,038045,STANBERRY R-II,335,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2011,038045,STANBERRY R-II,341,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2012,038045,STANBERRY R-II,322,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2013,038045,STANBERRY R-II,325,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2014,038045,STANBERRY R-II,325,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2015,038045,STANBERRY R-II,314,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2016,038045,STANBERRY R-II,306,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2017,038045,STANBERRY R-II,325,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2018,038045,STANBERRY R-II,323,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2019,038045,STANBERRY R-II,315,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020,038045,STANBERRY R-II,307,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2021,038045,STANBERRY R-II,323,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2022,038045,STANBERRY R-II,354,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2023,038045,STANBERRY R-II,371,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2001,038046,ALBANY R-III,557,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2002,038046,ALBANY R-III,531,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2003,038046,ALBANY R-III,528,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2004,038046,ALBANY R-III,496,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2005,038046,ALBANY R-III,493,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2006,038046,ALBANY R-III,489,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2007,038046,ALBANY R-III,466,5,1.1,*,*,*,*,5,1.1,*,*,*,*,*,*,*,*,5,1.1,*,*,*,*
2008,038046,ALBANY R-III,464,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2009,038046,ALBANY R-III,449,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2010,038046,ALBANY R-III,432,6,1.4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6,1.4,*,*,*,*
2011,038046,ALBANY R-III,418,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2012,038046,ALBANY R-III,431,5,1.2,*,*,*,*,5,1.2,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2013,038046,ALBANY R-III,435,5,1.1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,1.1,*,*,*,*
2014,038046,ALBANY R-III,442,5,1.1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,1.1,*,*,*,*
2015,038046,ALBANY R-III,426,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2016,038046,ALBANY R-III,410,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2017,038046,ALBANY R-III,409,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2018,038046,ALBANY R-III,398,5,1.3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,1.3,*,*,*,*
2019,038046,ALBANY R-III,415,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020,038046,ALBANY R-III,410,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2021,038046,ALBANY R-III,421,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2022,038046,ALBANY R-III,455,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2023,038046,ALBANY R-III,420,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2001,039133,WILLARD R-II,3138,10,0.3,*,*,8,0.3,*,*,*,*,*,*,*,*,*,*,10,0.3,*,*,*,*
2002,039133,WILLARD R-II,3143,18,0.6,7,0.2,6,0.2,*,*,*,*,*,*,*,*,*,*,18,0.6,*,*,*,*
2003,039133,WILLARD R-II,3313,38,2.2,*,*,33,1.9,*,*,*,*,*,*,*,*,*,*,36,2.1,*,*,*,*
2004,039133,WILLARD R-II,3441,173,5,*,*,28,0.8,126,3.7,*,*,13,0.4,5,0.1,*,*,173,5,*,*,*,*
2005,039133,WILLARD R-II,3508,29,0.8,*,*,17,0.5,*,*,*,*,*,*,7,0.2,*,*,29,0.8,*,*,*,*
2006,039133,WILLARD R-II,3696,22,0.6,*,*,15,0.4,5,0.1,*,*,*,*,*,*,*,*,20,0.5,*,*,*,*
2007,039133,WILLARD R-II,3853,14,0.4,*,*,6,0.2,*,*,*,*,*,*,*,*,*,*,14,0.4,*,*,*,*
2008,039133,WILLARD R-II,4043,36,0.9,*,*,13,0.3,10,0.2,*,*,6,0.1,*,*,*,*,35,0.9,*,*,*,*
2009,039133,WILLARD R-II,4116,41,1,*,*,22,0.5,10,0.2,*,*,*,*,*,*,*,*,39,0.9,*,*,*,*
2010,039133,WILLARD R-II,4150,45,1.1,*,*,24,0.6,10,0.2,*,*,10,0.2,*,*,*,*,45,1.1,*,*,*,*
2011,039133,WILLARD R-II,4234,54,1.3,*,*,29,0.7,17,0.4,*,*,5,0.1,*,*,*,*,54,1.3,*,*,*,*
2012,039133,WILLARD R-II,4207,31,0.7,*,*,17,0.4,*,*,*,*,7,0.2,*,*,*,*,31,0.7,*,*,*,*
2013,039133,WILLARD R-II,4236,32,0.8,*,*,19,0.4,6,0.1,*,*,6,0.1,*,*,*,*,32,0.8,*,*,11,0.3
2014,039133,WILLARD R-II,4363,17,0.4,*,*,9,0.2,*,*,*,*,*,*,*,*,*,*,16,0.4,*,*,*,*
2015,039133,WILLARD R-II,4472,22,0.5,*,*,9,0.2,6,0.1,*,*,*,*,*,*,*,*,19,0.4,*,*,*,*
2016,039133,WILLARD R-II,4516,26,0.6,*,*,15,0.3,*,*,*,*,5,0.1,*,*,*,*,26,0.6,*,*,*,*
2017,039133,WILLARD R-II,4465,35,0.8,*,*,18,0.4,8,0.2,*,*,7,0.2,*,*,*,*,33,0.7,*,*,*,*
2018,039133,WILLARD R-II,4523,52,1.1,*,*,26,0.6,14,0.3,*,*,*,*,5,0.1,*,*,52,1.1,*,*,*,*
2019,039133,WILLARD R-II,4488,79,1.8,13,0.3,36,0.8,14,0.3,*,*,6,0.1,10,0.2,*,*,79,1.8,*,*,*,*
2020,039133,WILLARD R-II,4555,52,1.1,*,*,*,*,38,0.8,*,*,8,0.2,6,0.1,*,*,52,1.1,*,*,8,0.2
2021,039133,WILLARD R-II,4462,40,0.9,*,*,*,*,34,0.8,*,*,6,0.1,*,*,*,*,40,0.9,*,*,*,*
2022,039133,WILLARD R-II,4510,67,1.5,*,*,*,*,51,1.1,*,*,10,0.2,6,0.1,*,*,67,1.5,*,*,*,*
2023,039133,WILLARD R-II,4536,103,2.3,*,*,5,0.1,77,1.7,*,*,19,0.4,*,*,*,*,102,2.2,*,*,15,0.3
2001,039134,REPUBLIC R-III,2999,42,1.4,*,*,13,0.4,26,0.9,*,*,*,*,*,*,*,*,42,1.4,*,*,*,*
2002,039134,REPUBLIC R-III,3048,12,0.4,*,*,6,0.2,5,0.2,*,*,*,*,*,*,*,*,12,0.4,*,*,*,*
2003,039134,REPUBLIC R-III,3151,19,0.6,*,*,13,0.4,5,0.2,*,*,*,*,*,*,*,*,19,0.6,*,*,*,*
2004,039134,REPUBLIC R-III,3269,41,1.3,*,*,21,0.6,14,0.4,*,*,*,*,*,*,*,*,40,1.2,*,*,*,*
2005,039134,REPUBLIC R-III,3370,30,0.9,*,*,17,0.5,10,0.3,*,*,*,*,*,*,*,*,27,0.8,*,*,*,*
2006,039134,REPUBLIC R-III,3466,44,1.3,11,0.3,17,0.5,12,0.3,*,*,*,*,*,*,5,0.1,39,1.1,*,*,*,*
2007,039134,REPUBLIC R-III,3652,45,1.2,*,*,13,0.4,26,0.7,*,*,*,*,*,*,*,*,41,1.1,*,*,*,*
2008,039134,REPUBLIC R-III,3901,27,0.7,8,0.2,6,0.2,12,0.3,*,*,*,*,*,*,*,*,24,0.6,*,*,*,*
2009,039134,REPUBLIC R-III,4124,32,0.8,8,0.2,19,0.5,*,*,*,*,*,*,*,*,*,*,31,0.8,*,*,*,*
2010,039134,REPUBLIC R-III,4387,14,0.3,*,*,*,*,7,0.2,*,*,*,*,*,*,*,*,14,0.3,*,*,*,*
2011,039134,REPUBLIC R-III,4530,37,0.8,*,*,11,0.2,24,0.5,*,*,*,*,*,*,*,*,36,0.8,*,*,*,*
2012,039134,REPUBLIC R-III,4538,22,0.5,*,*,11,0.2,8,0.2,*,*,*,*,*,*,*,*,22,0.5,*,*,*,*
2013,039134,REPUBLIC R-III,4591,6,0.1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6,0.1,*,*,*,*
2014,039134,REPUBLIC R-III,4644,19,0.4,*,*,8,0.2,8,0.2,*,*,*,*,*,*,*,*,19,0.4,*,*,*,*
2015,039134,REPUBLIC R-III,4656,36,0.8,8,0.2,13,0.3,10,0.2,*,*,*,*,*,*,*,*,36,0.8,*,*,*,*
2016,039134,REPUBLIC R-III,4717,37,0.8,*,*,16,0.3,16,0.3,*,*,*,*,*,*,*,*,37,0.8,*,*,*,*
2017,039134,REPUBLIC R-III,4720,29,0.6,8,0.2,5,0.1,12,0.3,*,*,*,*,*,*,*,*,29,0.6,*,*,*,*
2018,039134,REPUBLIC R-III,4790,60,1.3,6,0.1,17,0.4,22,0.5,*,*,*,*,*,*,*,*,60,1.3,*,*,*,*
2019,039134,REPUBLIC R-III,4839,30,0.6,7,0.1,8,0.2,11,0.2,*,*,*,*,*,*,*,*,30,0.6,*,*,*,*
2020,039134,REPUBLIC R-III,4902,33,0.7,*,*,14,0.3,*,*,*,*,*,*,*,*,*,*,33,0.7,*,*,*,*
2021,039134,REPUBLIC R-III,4861,34,0.7,*,*,12,0.2,*,*,*,*,*,*,*,*,*,*,34,0.7,*,*,*,*
2022,039134,REPUBLIC R-III,5086,55,1.1,*,*,19,0.4,12,0.2,*,*,*,*,*,*,*,*,55,1.1,*,*,*,*
2023,039134,REPUBLIC R-III,5083,74,1.5,5,0.1,38,0.7,9,0.2,*,*,*,*,*,*,*,*,74,1.5,*,*,*,*
2001,039135,ASH GROVE R-IV,841,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2002,039135,ASH GROVE R-IV,836,10,1.2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,10,1.2,*,*,*,*
2003,039135,ASH GROVE R-IV,883,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2004,039135,ASH GROVE R-IV,858,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2005,039135,ASH GROVE R-IV,869,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2006,039135,ASH GROVE R-IV,885,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2007,039135,ASH GROVE R-IV,879,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2008,039135,ASH GROVE R-IV,842,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2009,039135,ASH GROVE R-IV,820,10,1.2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,9,1.1,*,*,*,*
2010,039135,ASH GROVE R-IV,821,5,0.6,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,0.6,*,*,*,*
2011,039135,ASH GROVE R-IV,773,7,0.9,*,*,*,*,5,0.6,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2012,039135,ASH GROVE R-IV,765,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2013,039135,ASH GROVE R-IV,744,5,0.7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2014,039135,ASH GROVE R-IV,703,6,0.9,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,0.7,*,*,*,*
2015,039135,ASH GROVE R-IV,680,5,0.7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2016,039135,ASH GROVE R-IV,679,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2017,039135,ASH GROVE R-IV,677,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2018,039135,ASH GROVE R-IV,678,7,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,7,1,*,*,*,*
2019,039135,ASH GROVE R-IV,659,6,0.9,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6,0.9,*,*,*,*
2020,039135,ASH GROVE R-IV,683,6,0.9,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6,0.9,*,*,*,*
2021,039135,ASH GROVE R-IV,667,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2022,039135,ASH GROVE R-IV,704,5,0.7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,0.7,*,*,*,*
2023,039135,ASH GROVE R-IV,683,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2001,039136,WALNUT GROVE R-V,326,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2002,039136,WALNUT GROVE R-V,337,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2003,039136,WALNUT GROVE R-V,314,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2004,039136,WALNUT GROVE R-V,312,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2005,039136,WALNUT GROVE R-V,300,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2006,039136,WALNUT GROVE R-V,282,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2007,039136,WALNUT GROVE R-V,280,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2008,039136,WALNUT GROVE R-V,275,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2009,039136,WALNUT GROVE R-V,284,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2010,039136,WALNUT GROVE R-V,293,5,1.7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,1.7,*,*,*,*
2011,039136,WALNUT GROVE R-V,277,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2012,039136,WALNUT GROVE R-V,258,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2013,039136,WALNUT GROVE R-V,266,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2014,039136,WALNUT GROVE R-V,273,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2015,039136,WALNUT GROVE R-V,254,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2016,039136,WALNUT GROVE R-V,243,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2017,039136,WALNUT GROVE R-V,265,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2018,039136,WALNUT GROVE R-V,277,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2019,039136,WALNUT GROVE R-V,261,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2020,039136,WALNUT GROVE R-V,262,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2021,039136,WALNUT GROVE R-V,267,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2022,039136,WALNUT GROVE R-V,270,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2023,039136,WALNUT GROVE R-V,269,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2001,039137,STRAFFORD R-VI,1025,10,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,10,1,*,*,*,*
2002,039137,STRAFFORD R-VI,1039,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2003,039137,STRAFFORD R-VI,1060,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2004,039137,STRAFFORD R-VI,1114,12,1.1,*,*,5,0.4,*,*,*,*,*,*,*,*,*,*,11,1,*,*,7,0.6
2005,039137,STRAFFORD R-VI,1126,12,1.1,*,*,5,0.4,5,0.4,*,*,*,*,*,*,*,*,11,1,*,*,*,*
2006,039137,STRAFFORD R-VI,1098,9,0.8,*,*,*,*,9,0.8,*,*,*,*,*,*,*,*,9,0.8,*,*,*,*
2007,039137,STRAFFORD R-VI,1198,8,0.7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,8,0.7,*,*,*,*
2008,039137,STRAFFORD R-VI,1201,15,1.2,*,*,12,1,*,*,*,*,*,*,*,*,*,*,15,1.2,*,*,*,*
2009,039137,STRAFFORD R-VI,1214,10,0.8,7,0.6,*,*,*,*,*,*,*,*,*,*,*,*,10,0.8,*,*,*,*
2010,039137,STRAFFORD R-VI,1215,7,0.6,*,*,*,*,*,*,*,*,*,*,*,*,*,*,7,0.6,*,*,*,*
2011,039137,STRAFFORD R-VI,1209,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
2012,039137,STRAFFORD R-VI,1176,10,0.9,*,*,*,*,*,*,*,*,*,*,*,*,*,*,10,0.9,*,*,*,*
2013,039137,STRAFFORD R-VI,1173,11,0.9,*,*,*,*,5,0.4,*,*,*,*,*,*,*,*,8,0.7,*,*,*,*
2014,039137,STRAFFORD R-VI,1137,8,0.7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,8,0.7,*,*,*,*
